,REACTOME_SIGNALING_BY_ERBB4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,PID_HIF1A_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,KEGG_PHENYLALANINE_METABOLISM,REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,REACTOME_DEADENYLATION_OF_MRNA,REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,PID_NFAT_3PATHWAY,PID_NFAT_TFPATHWAY
75,,31703530,31351423,34721299,31117294,35174689,,34809611,,
76,,31701452,31344385,34719742,31115373,35174638,,34808334,,
77,,31698018,31331111,34715892,31102272,35174636,,34797947,,
78,,31659282,31241439,34714317,31065046,35174437,,34797832,,
79,,31625574,31214621,34711717,31029902,35174179,,34789343,,
80,,31614179,31213603,34709244,30970526,35174024,,34785919,,
81,,31593205,31207098,34708788,30923035,35173682,,34782349,,
82,,31573555,31187757,34708787,30918104,35173677,,34778414,,
83,,31533112,31185507,34708786,30917419,35173531,,34773360,,
84,,31398260,31121197,34708775,30885989,35173509,,34768589,,
85,,31390268,31079353,34708773,30880915,35173105,,34768437,,
86,,31368881,31002820,34708737,30869798,35172774,,34767792,,
87,,31356754,30961682,34708735,30730841,35172228,,34764663,,
88,,31353725,30917505,34706802,30706418,35171448,,34763450,,
89,,31353661,30911550,34706272,30696861,35170644,,34758997,,
90,,31318577,30897274,34702288,30694829,35170612,,34754434,,
91,,31281569,30743315,34699316,30670174,35170437,,34754229,,
92,,31252091,30600310,34699182,30640391,35170415,,34753557,,
93,,31217360,30597763,34694755,30556504,35170319,,34744444,,
94,,31213603,30506859,34684166,30543107,35170060,,34742906,,
95,,31179568,30361814,34684109,30506451,35169371,,34738659,,
96,,31101940,30317872,34679716,30499400,35169195,,34737903,,
97,,31098971,30221697,34673901,30427552,35168915,,34732509,,
98,,31096818,30213959,34661731,30405858,35167376,,34722660,,
99,,31087517,30097694,34660813,30405462,35166506,,34721837,,
100,,31037132,30007476,34659258,30359173,35166250,,34719611,,
101,,31002823,29967323,34659227,30323304,35165620,,34716692,,
102,,30999892,29753320,34654782,30227169,35165584,,34715799,,
103,,30973512,29700282,34650342,30098134,35165331,,34712380,,
104,,30927207,29693586,34645640,30065632,35165268,,34710093,,
105,,30922813,29693146,34644264,29930218,35165256,,34708786,,
106,,30907926,29690638,34638620,29802586,35164855,,34704321,,
107,,30816665,29644938,34638475,29779698,35164292,,34700293,,
108,,30802477,29412813,34626779,29752946,35164238,,34697593,,
109,,30799273,29404759,34620616,29728717,35164215,,34689373,,
110,,30785089,29374065,34608841,29663011,35164118,,34683112,,
111,,30746047,29146180,34604943,29626220,35163573,,34680533,,
112,,30716067,29129773,34602544,29601913,35162907,,34675059,,
113,,30690003,29042175,34598018,29555466,35162654,,34670450,,
114,,30646747,28774305,34586227,29438107,35160113,,34663321,,
115,,30613492,28758418,34584587,29372256,35159301,,34663077,,
116,,30604889,28697748,34583768,29369529,35158846,,34662688,,
117,,30533579,28689815,34581950,29363305,35158824,,34661687,,
118,,30529775,28683299,34579733,29128846,35158330,,34651001,,
119,,30504726,28595632,34579628,28954970,35158145,,34648888,,
120,,30515996,28436035,34565677,28943546,35157943,,34646935,,
121,,30496779,28424212,34564158,28933093,35157687,,34645614,,
122,,30488697,28419670,34560065,28663594,35157499,,34643490,,
123,,30476208,28374767,34558255,28637888,35155683,,34643484,,
124,,30444033,28351619,34556761,28618876,35154494,,34640457,,
125,,30337876,28263817,34553427,28580535,35154005,,34637171,,
126,,30328251,28009852,34552123,28472682,35153824,,34628701,,
127,,30253137,27918469,34538511,28460264,35153796,,34625357,,
128,,30247717,27909871,34536049,28401628,35153733,,34623630,,
129,,30205097,27829662,34533398,28400286,35153494,,34623029,,
130,,30198018,27821168,34526548,28389705,35153417,,34622850,,
131,,30179627,27649243,34526376,28367428,35152907,,34620621,,
132,,30168428,27522360,34523658,28300592,35152812,,34620182,,
133,,30119216,27425889,34523038,28297133,35151706,,34619108,,
134,,30107617,27351799,34521246,28285739,35151646,,34619106,,
135,,30082798,27288252,34516311,28283573,35151421,,34603198,,
136,,30022501,27207834,34515012,28233627,35150035,,34596371,,
137,,29946211,27069929,34508881,28187322,35149166,,34593566,,
138,,29924999,26967994,34507636,28185532,35148936,,34593536,,
139,,29887834,26956696,34502350,28169935,35148612,,34592520,,
140,,29884802,26908870,34502144,28087508,35148580,,34589395,,
141,,29872771,26725915,34488845,28063302,35148275,,34586368,,
142,,29858880,26720469,34487257,28039955,35148196,,34585886,,
143,,29803782,26679676,34486326,27960013,35147350,,34584354,,
144,,29779708,26614261,34483928,27875310,35146402,,34576158,,
145,,29779142,26600509,34480934,27866845,35145895,,34562196,,
146,,29760122,26464661,34477927,27808173,35145481,,34561199,,
147,,29758315,26463737,34468834,27749986,35145353,,34557469,,
148,,29747657,26278717,34467607,27507597,35144941,,34545949,,
149,,29704151,26113285,34461141,26887663,35144649,,34544446,,
150,,29704081,26073000,34447414,27694567,35144596,,34522111,,
151,,29686455,25956355,34446301,27598004,35144052,,34522109,,
152,,29670917,25952368,34441269,27530902,35141761,,34519996,,
153,,29625944,25907932,34438011,27421789,35141727,,34517014,,
154,,29575122,25877238,34437952,27322810,35141057,,34501433,,
155,,29572844,25869614,34434452,27289540,35140804,,34497173,,
156,,29510179,25532619,34419979,27242385,35140529,,34497110,,
157,,29479143,25500169,34415363,27221118,35140490,,34496164,,
158,,29399212,25454972,34414639,27211699,35140467,,34492149,,
159,,29389581,25427381,34410069,27208380,35140448,,34485532,,
160,,29230422,25381014,34391832,27175676,35140188,,34481963,,
161,,29204450,25284101,34391637,26950281,35140187,,34481470,,
162,,29068452,25187372,34389483,26846565,35139791,,34476451,,
163,,28963949,25073425,34382850,26844282,35138995,,34473880,,
164,,28862933,25059098,34380156,26791187,35136945,,34472802,,
165,,28858634,25057215,34379187,26748374,35136739,,34464675,,
166,,28826719,25054148,34375775,26653072,35136338,,34462544,,
167,,28823168,25042714,34370714,26600713,35135590,,34461808,,
168,,28753206,24924441,34369659,26526912,35135342,,34452776,,
169,,28695302,24878748,34369441,26404065,35135077,,34449181,,
170,,28692233,24867508,34360849,26283735,35134601,,34448033,,
171,,28691137,24865616,34360550,26271442,35133415,,34445968,,
172,,28643853,24769354,34359881,26158794,35133181,,34444971,,
173,,28638013,24675660,34350169,26063450,35132858,,34442028,,
174,,28623529,24564828,34350068,26037513,35131852,,34441040,,
175,,28603417,24507647,34347216,26035110,35131380,,34440682,,
176,,28599896,24366041,34344299,25937635,35131375,,34436155,,
177,,28586916,24279470,34341568,25897359,35129941,,34433133,,
178,,28533125,24275182,34335038,25812367,35130556,,34432626,,
179,,28527878,24030251,34334704,25781235,35130338,,34431269,,
180,,28511074,23984430,34333043,25733201,35129965,,34428770,,
181,,28502979,23979266,34329390,25693751,35129900,,34425083,,
182,,28492550,23935835,34326947,25631328,35129868,,34420817,,
183,,28486920,23874823,34323921,25573147,35129235,,34419984,,
184,,28364094,23847321,34321516,25560470,35129018,,34414665,,
185,,28346156,23810809,34320834,25559284,35128870,,34408653,,
186,,28293400,23719521,34320593,25539617,35128745,,34407822,,
187,,28274335,23718695,34315726,25464928,35128381,,34407751,,
188,,28259941,23712867,34314862,25423564,35128336,,34404433,,
189,,28229177,23615507,34311786,25404734,35127948,,34404134,,
190,,28219782,23573311,34303767,25305014,35127799,,34403950,,
191,,28193056,23512810,34297586,25057154,35126874,,34402100,,
192,,28128991,23462604,34293080,24966532,35126811,,34400769,,
193,,28033563,23411040,34285680,24890121,35126141,,34400461,,
194,,27966332,23379642,34283986,24704461,35126008,,34400082,,
195,,27921430,23255598,34283979,24627569,35124792,,34394833,,
196,,27902175,23252631,34282598,24552903,35124687,,34393228,,
197,,27881717,23244125,34281162,24431431,35124671,,34391872,,
198,,27865318,23197976,34279974,24430787,35124417,,34390437,,
199,,27823613,22991450,34278923,24322398,35124169,,34383954,,
200,,27818604,22899901,34278746,24292023,35123833,,34380703,,
201,,27565141,22844268,34278463,24261759,35123379,,34362787,,
202,,27621051,22834840,34277588,24234422,35122903,,34355651,,
203,,27667194,22707888,34275395,24225338,35122876,,34353883,,
204,,27776381,22661484,34266474,24176451,35121049,,34349832,,
205,,27631677,22581719,34264768,24024786,35120579,,34348909,,
206,,27344677,22579475,34259103,23924720,35119848,,34341568,,
207,,27755393,22523246,34256844,23859953,35119630,,34338408,,
208,,27737949,22492942,34256400,23787216,35119572,,34338406,,
209,,27733145,22403299,34230991,23633210,35119016,,34336954,,
210,,29638064,22377232,34222063,23631607,35118717,,34336112,,
211,,27539431,22232563,34216434,23607762,35118541,,34334308,,
212,,27530460,22210321,34206433,23574533,35118540,,34333059,,
213,,27489506,22125629,34204153,23530834,35118455,,34332599,,
214,,27481296,22110070,34199319,23417031,35118448,,34326100,,
215,,27425404,22073864,34189816,23377891,35118445,,34325887,,
216,,27422579,21813290,34185587,23370597,35118442,,34322974,,
217,,27404587,21795715,34179020,23338975,35116211,,34320238,,
218,,30480417,21777581,34174862,23330081,35115945,,34313215,,
219,,27318070,21689648,34171772,23324437,35115614,,34312243,,
220,,27317017,21627711,34171251,23295371,35115561,,34311020,,
221,,27291759,21435171,34169613,23256729,35115003,,34309046,,
222,,27278263,21360191,34163437,23242195,35114950,,34308311,,
223,,27255598,21345401,34160456,23237188,35114785,,34305401,,
224,,27252826,21282369,34158423,23198915,35114772,,34304366,,
225,,27235923,21167435,34157786,23075115,35114770,,34289813,,
226,,27189100,20844021,34149611,23043162,35114764,,34284392,,
227,,27165858,20811317,34145756,23032060,35114763,,34282181,,
228,,27153943,20645943,34144077,22982177,35114702,,34277984,,
229,,27124227,20620220,34137197,22977272,35114469,,34272327,,
230,,27108145,20562294,34128630,22934758,35114453,,34268015,,
231,,27089006,20530741,34124270,22926069,35114418,,34254743,,
232,,26989230,20215574,34124019,22884988,35114388,,34254257,,
233,,26931751,20005221,34121335,22842957,35113805,,34248037,,
234,,26918849,19843875,34119624,22768586,35113203,,34246657,,
235,,26902242,19837381,34115869,22754303,35111222,,34245799,,
236,,26831938,19691832,34106593,22753154,35111148,,34244329,,
237,,26814598,19659459,34103662,22739107,35111074,,34240198,,
238,,26797275,19300184,34099721,22718433,35111058,,34235875,,
239,,26758067,19057015,34097181,22538219,35110855,,34234484,,
240,,26658596,18954918,34096258,22530993,35110080,,34233928,,
241,,26658505,18835934,34093556,22497444,35109996,,34233925,,
242,,26599467,18506785,34082970,22482900,35108508,,34233048,,
243,,26549420,18448614,34081870,22332087,35108433,,34228899,,
244,,26520063,18301327,34070439,22293455,35108116,,34221371,,
245,,26518730,18003758,34066859,22250059,35107789,,34220022,,
246,,26491377,17971009,34064112,22240597,35107740,,34219598,,
247,,26476734,17971008,34058994,22209866,35107488,,34216366,,
248,,26400610,17967803,34054544,22136812,35106626,,34216216,,
249,,26394662,17586470,34053926,22071500,35106289,,34213474,,
250,,26380761,17049056,34051854,21970446,35106234,,34211028,,
251,,26358669,17003339,34044713,21923736,35106121,,34209644,,
252,,26330286,16046581,34043607,21895920,35105470,,34198292,,
253,,26310807,15884793,34039185,21890434,35105428,,34193460,,
254,,26309100,15663958,34020670,21801074,35105246,,34186366,,
