,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
147,,30606979,35151720,33946446,34771066,34417122,34071003,24382058,31243706,34986353
148,,30597763,35151663,33939118,34769092,34396715,34066859,24373235,31235555,34986147
149,,30575282,35151650,33931404,34768051,34390993,34063377,24361511,31229619,34981499
150,,30555566,35151646,33915220,34764634,34389700,34056897,24191197,31201731,34978597
151,,30552111,35151604,33893674,34763302,34388426,34056691,23889512,31197153,34975489
152,,30478982,35151421,33892080,34761905,34384074,34032641,23861369,31186419,34974781
153,,30444022,35151348,33890414,34753427,34382750,34029582,23694765,31149850,34974187
154,,30383868,35151299,33887256,34752662,34381161,34026534,22972470,31133092,34972124
155,,30374109,35150861,33887213,34749668,34378279,34024257,22926069,31107414,34970582
156,,30360145,35150560,33883656,34746208,34371816,34015278,22884904,31092541,34967298
157,,30341510,35150548,33862075,34743947,34368864,34009603,22859370,31048368,34967205
158,,30205382,35150287,33858515,34743657,34367469,34008029,24236842,31035215,34966605
159,,30026270,35150035,33832546,34737725,34366875,34000580,22649411,31014937,34966360
160,,30007232,35149166,33832077,34736133,34361774,33998282,22579560,31002823,34966359
161,,30006377,35148695,33823760,34732821,34360682,33995275,22292451,30907944,34962643
162,,29982291,35148602,33811926,34732537,34359828,33991997,22253604,30830678,34962468
163,,29955086,35148580,33802170,34730253,34349763,33983929,27933595,30819824,34960114
164,,29731242,35147639,33799976,34729722,34343731,33978069,22180093,30759215,34960022
165,,29669962,35147538,33797777,34727932,34341763,33975515,22147710,30753258,34959870
166,,29650774,35147505,33792323,34727748,34337024,33962149,22079758,30738868,34959760
167,,29615440,35146402,33789659,34726160,34331686,33956455,21958333,30718068,34959250
168,,29611132,35146306,33780229,34725844,34329737,33947005,21950636,30705254,34958683
169,,29609091,35145791,33772991,34723191,34326967,33934480,21831781,30694557,34957476
170,,29606028,35145588,33768561,34721760,34315726,33932253,21486703,30673120,34955862
